name,lat,lon,category,popularity
Atlanta,23.0265179,72.5535161,public_building,22
"St. Xavier's High School, Loyola Hall",23.047875,72.5490839,school,77
Mt. Carmel School,23.0351192,72.568061,school,95
Bodakdev Fire Station,23.0398116,72.5163171,fire_station,34
Navrang School,23.0483604,72.556364,school,26
"DPS - Delhi Public School, Bopal",23.0419569,72.4575053,school,39
A. G. Teachers High School,23.0403655,72.5484846,school,74
Manav Mandir,23.0461532,72.5396662,place_of_worship,44
"Karnvanath Mahadev, Shiv Temple",23.0470512,72.5498248,place_of_worship,79
Paramdham Temple,23.0279683,72.5206423,place_of_worship,36
Gayatri Mandir,23.0616617,72.5914612,place_of_worship,79
Wide Angle,23.0245953,72.5072957,cinema,95
St. Xavier's College,23.0329052,72.5517045,college,87
SLIMS - Som Lalit Institute of Management Studies,23.0337029,72.5537987,college,78
"Mount Carmel School, Khanpur",23.0329288,72.5766297,school,75
Amola Chambers,23.0322763,72.5596359,public_building,62
BSNL Navrangpura,23.031785,72.5592443,public_building,89
Shilp,23.0328924,72.5604427,public_building,69
City Centre,23.0406632,72.5567409,public_building,55
Navdeep,23.0405777,72.5687511,public_building,34
Memnagar Fire Station,23.0455062,72.5510013,fire_station,74
Jalaram Mandir,23.0180339,72.5617653,place_of_worship,23
Sakar 2,23.0229657,72.5725025,attraction,75
Sakar 4,23.0235187,72.5717901,attraction,71
Sanskar Kendra,23.0130948,72.5694038,museum,71
Suvidha Shopping Centre,23.0144556,72.5591462,convenience,49
Jivraj Mehta Hospital,23.0085819,72.5432503,hospital,39
"Bhimnath Mahadev, Shiv Temple",23.0119553,72.5499794,place_of_worship,80
Paldi Bus Stand,23.0140725,72.5645878,bus_station,29
"Adlabs, BIG Cinema",23.0465768,72.531028,cinema,82
Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.,23.0487566,72.5312683,hospital,98
Vishala,22.9936417,72.5357058,restaurant,63
Rajvadu Restaurant,23.0042051,72.5397742,restaurant,88
10 (Ten) Acres Mall,23.01524,72.5965751,supermarket,92
Kankaria Zoo,23.0081615,72.6038792,zoo,24
Unknown,23.0182439,72.60021,clothes,31
Raipur Gate,23.0174361,72.5947812,attraction,78
"Jagannath Mandir, Temple",23.0114213,72.5810755,place_of_worship,70
Narol Circle,22.9728189,72.5883525,attraction,63
Chandkheda,23.107121,72.5848584,post_box,39
Unknown,23.0923921,72.5938017,cinema,67
Unknown,23.0924908,72.5917525,hospital,94
Sant Asharamji Ashram,23.0931619,72.6024491,place_of_worship,61
Unknown,23.0648296,72.5821405,restaurant,38
Nal Sarovar Bird Sanctuary,22.8205867,72.0455369,attraction,27
Staff Parking,23.0113878,72.5687751,parking,67
Amphitheatre,23.0111829,72.5707945,theatre,71
Unknown,23.011309,72.569162,bench,85
Unknown,23.0110649,72.5705432,place_of_worship,96
